"";"X.";"Ministério";"Sigla";"Foto";"Atual.ministro.a.";"Partido";"Início.do.mandato"
"1";"1";"Agricultura, Pecuária e Abastecimento";"MAPA";"";"Tereza Cristina";"DEM";"1 de janeiro de 2019"
"2";"2";"Cidadania";"MC";"";"João Roma";"Republicanos";"12 de fevereiro de 2021"
"3";"3";"Ciência, Tecnologia e Inovações";"MCTI";"";"Marcos Pontes";"PSL";"1 de janeiro de 2019"
"4";"4";"Comunicações";"MCom[6]";"";"Fábio Faria";"PSD";"10 de junho de 2020[7]"
"5";"5";"Defesa";"MD";"";"Walter Braga Netto";"independente";"30 de março de 2021"
"6";"6";"Desenvolvimento Regional";"MDR";"";"Rogério Marinho";"independente
[8][9][10]";"11 de fevereiro de 2020"
"7";"7";"Economia";"ME";"";"Paulo Guedes";"independente";"1 de janeiro de 2019"
"8";"8";"Educação";"MEC";"";"Milton Ribeiro";"independente";"10 de Julho de 2020"
"9";"9";"Infraestrutura";"MI";"";"Tarcísio Gomes de Freitas";"independente";"1 de janeiro de 2019"
"10";"10";"Justiça e Segurança Pública";"MJSP";"";"Anderson Torres";"PSL";"30 de março de 2021"
"11";"11";"Meio Ambiente";"MMA";"";"Ricardo Salles";"independente";"1 de janeiro de 2019"
"12";"12";"Minas e Energia";"MME";"";"Bento Albuquerque";"independente";"1 de janeiro de 2019"
"13";"13";"Mulher, Família e Direitos Humanos";"MMFDH";"";"Damares Alves";"independente";"1 de janeiro de 2019"
"14";"14";"Relações Exteriores";"MRE";"";"Carlos Alberto Franco França";"independente";"30 de março de 2021"
"15";"15";"Saúde";"MS";"";"Marcelo Queiroga";"independente";"16 de março de 2021"
"16";"16";"Turismo";"MTur";"";"Gilson Machado";"independente";"9 de dezembro de 2020"
"17";"17";"Controladoria-Geral da União";"CGU";"";"Wagner Rosário";"independente";"31 de maio de 2017"
"18";"Secretarias com status de ministério
(ligadas à Presidência da República)";"Secretarias com status de ministério
(ligadas à Presidência da República)";"Secretarias com status de ministério
(ligadas à Presidência da República)";"Secretarias com status de ministério
(ligadas à Presidência da República)";"Secretarias com status de ministério
(ligadas à Presidência da República)";"Secretarias com status de ministério
(ligadas à Presidência da República)";""
"19";"18";"Secretaria de Governo";"SeGov";"";"Flávia Arruda";"PL";"30 de março de 2021"
"20";"19";"Secretaria-Geral";"SGPR";"";"Onyx Lorenzoni";"DEM";"12 de fevereiro de 2021"
"21";"Órgãos com status de ministério
(ligados à Presidência da República)";"Órgãos com status de ministério
(ligados à Presidência da República)";"Órgãos com status de ministério
(ligados à Presidência da República)";"Órgãos com status de ministério
(ligados à Presidência da República)";"Órgãos com status de ministério
(ligados à Presidência da República)";"Órgãos com status de ministério
(ligados à Presidência da República)";""
"22";"20";"Advocacia-Geral da União";"AGU";"";"André Mendonça";"independente";"28 de abril de 2020"
"23";"21";"Casa Civil";"CC";"";"Luiz Eduardo Ramos";"independente";"30 de março de 2021"
"24";"22";"Gabinete de Segurança Institucional";"GSI";"";"Augusto Heleno";"independente";"1 de janeiro de 2019"
